"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2023","34.375","33.825","36.110","33.805","0.30K","1.31%"
"07/03/2023","33.930","37.820","37.820","33.995","0.40K","-8.55%"
"06/30/2023","37.103","35.195","37.650","35.195","0.13K","5.47%"
"06/29/2023","35.180","32.300","33.050","32.300","0.04K","3.09%"
"06/28/2023","34.125","33.800","34.400","33.800","0.03K","-1.10%"
"06/27/2023","34.505","32.905","32.905","32.350","0.06K","7.91%"
"06/26/2023","31.975","34.305","34.305","34.155","0.08K","-1.64%"
"06/23/2023","32.507","32.640","33.000","32.385","0.27K","-4.66%"
"06/22/2023","34.095","36.900","36.935","34.055","0.53K","-7.21%"
"06/21/2023","36.745","36.800","38.960","36.770","2.09K","-5.08%"
"06/20/2023","38.710","32.650","39.350","31.880","0.31K","10.57%"
"06/16/2023","35.010","34.550","37.050","32.400","0.10K","-14.91%"
"06/15/2023","41.145","37.350","43.530","37.350","0.18K","7.40%"
"06/14/2023","38.310","34.125","40.055","34.125","0.19K","6.27%"
"06/13/2023","36.050","33.650","35.150","33.650","0.04K","16.16%"
"06/12/2023","31.035","31.605","32.045","29.400","0.20K","-3.17%"
"06/09/2023","32.050","27.150","33.015","27.150","0.28K","18.95%"
"06/08/2023","26.945","26.550","28.500","26.050","0.42K","2.34%"
"06/07/2023","26.330","25.350","26.990","25.200","0.74K","5.91%"
"06/06/2023","24.860","28.300","28.300","24.775","0.33K","-12.71%"
"06/05/2023","28.480","24.250","28.695","24.250","0.08K","20.22%"
"06/02/2023","23.690","23.750","23.845","23.125","0.30K","2.53%"
"06/01/2023","23.105","25.200","25.200","23.430","0.20K","-13.95%"
"05/31/2023","26.850","25.495","27.950","25.495","0.04K","8.79%"
"05/30/2023","24.681","24.681","24.681","24.681","","0.66%"
"05/26/2023","24.520","25.435","25.435","23.790","0.10K","-3.65%"
"05/25/2023","25.450","26.900","26.900","25.290","0.04K","-8.40%"
"05/24/2023","27.785","28.630","28.630","28.630","0.05K","-4.60%"
"05/23/2023","29.125","29.125","29.125","29.125","0.04K","-1.97%"
"05/22/2023","29.710","30.200","30.200","30.200","0.17K","-1.54%"
"05/19/2023","30.175","30.175","30.175","30.175","","1.31%"
"05/18/2023","29.785","29.985","29.985","29.975","0.09K","-6.79%"
"05/17/2023","31.955","32.600","32.600","32.175","0.15K","0.42%"
"05/16/2023","31.820","32.350","32.930","31.635","0.44K","-1.53%"
"05/15/2023","32.315","32.305","33.600","32.000","0.28K","-1.37%"
"05/12/2023","32.765","33.950","33.950","32.350","0.43K","-6.37%"
"05/11/2023","34.995","34.900","35.160","34.670","0.43K","0.00%"
"05/10/2023","34.995","35.700","36.000","34.740","0.21K","-2.66%"
"05/09/2023","35.950","36.625","36.910","35.800","0.26K","-2.51%"
"05/08/2023","36.875","36.850","37.250","36.850","0.03K","0.82%"
"05/05/2023","36.575","35.925","36.790","35.925","0.34K","2.58%"
"05/04/2023","35.655","36.950","36.950","35.700","0.45K","-3.06%"
"05/03/2023","36.780","37.495","37.495","36.400","0.41K","-2.00%"
"05/02/2023","37.530","37.860","38.050","37.275","0.24K","-3.36%"
"05/01/2023","38.835","38.835","38.835","38.835","0.01K","0.77%"
"04/28/2023","38.540","39.800","39.800","38.300","0.00K","-1.28%"
"04/27/2023","39.039","39.039","39.039","39.039","0.02K","1.27%"
"04/26/2023","38.550","38.550","38.550","38.550","","-3.23%"
"04/25/2023","39.835","39.835","39.835","39.835","","-0.23%"
"04/24/2023","39.925","39.925","39.925","39.925","","-0.60%"
"04/21/2023","40.165","40.650","41.150","39.950","0.03K","-0.99%"
"04/20/2023","40.565","40.400","41.020","40.400","0.33K","0.66%"
"04/19/2023","40.300","42.425","42.425","39.805","0.21K","-5.66%"
"04/18/2023","42.720","41.505","42.990","41.505","0.14K","3.88%"
"04/17/2023","41.125","42.185","42.185","41.050","0.27K","-0.06%"
"04/14/2023","41.150","41.050","41.880","41.050","0.28K","-2.24%"
"04/13/2023","42.095","42.600","42.605","41.945","0.16K","-1.83%"
"04/12/2023","42.880","43.295","43.900","42.940","0.09K","-1.85%"
"04/11/2023","43.690","43.100","44.365","42.425","0.09K","1.31%"
"04/10/2023","43.125","43.125","43.125","43.125","","0.00%"
"04/06/2023","43.125","43.765","44.000","42.895","0.07K","-3.25%"
"04/05/2023","44.575","46.600","47.200","44.400","0.11K","-4.28%"
"04/04/2023","46.570","48.945","48.945","45.825","0.13K","-9.34%"
"04/03/2023","51.365","49.900","51.835","49.900","0.08K","7.36%"
"03/31/2023","47.845","44.950","44.950","44.950","0.01K","9.71%"
"03/30/2023","43.609","43.609","43.609","43.609","0.00K","1.88%"
"03/29/2023","42.805","42.805","42.805","42.805","","0.13%"
"03/28/2023","42.750","42.830","42.830","42.830","0.01K","0.52%"
"03/27/2023","42.530","42.530","42.530","42.530","","3.49%"
"03/24/2023","41.095","41.750","41.750","41.750","0.01K","-4.84%"
"03/23/2023","43.185","42.600","43.810","42.245","0.19K","8.03%"
"03/22/2023","39.975","41.550","41.550","39.945","0.11K","-5.72%"
"03/21/2023","42.400","38.985","41.500","38.985","0.05K","7.82%"
"03/20/2023","39.325","40.100","40.700","38.855","0.07K","-8.24%"
"03/17/2023","42.855","43.800","44.000","42.320","0.14K","-3.35%"
"03/16/2023","44.340","42.000","44.650","42.000","0.04K","3.34%"
"03/15/2023","42.905","43.850","43.900","42.650","0.02K","-2.90%"
"03/14/2023","44.185","46.750","46.750","44.545","0.14K","-10.89%"
"03/13/2023","49.585","49.250","51.825","48.800","0.04K","-6.19%"
"03/10/2023","52.855","48.000","54.230","45.300","0.03K","21.23%"
"03/09/2023","43.600","41.150","41.150","41.150","0.00K","2.98%"
"03/08/2023","42.340","44.600","44.600","44.600","0.03K","-2.37%"
"03/07/2023","43.370","42.800","43.650","42.800","0.02K","2.89%"
"03/06/2023","42.150","43.300","43.300","41.700","0.01K","-6.29%"
"03/03/2023","44.980","45.650","46.285","45.075","0.01K","-3.92%"
"03/02/2023","46.815","47.500","47.500","47.300","0.00K","-0.57%"
"03/01/2023","47.085","47.250","48.200","47.000","0.01K","0.90%"
"02/28/2023","46.665","48.000","48.000","46.700","0.00K","-1.34%"
"02/27/2023","47.299","47.299","47.299","47.299","","-7.28%"
"02/24/2023","51.015","51.015","51.015","51.015","","0.46%"
"02/23/2023","50.780","50.780","50.780","50.780","","0.42%"
"02/22/2023","50.570","50.570","50.570","50.570","","4.18%"
"02/21/2023","48.540","50.800","50.800","50.800","0.00K","-1.03%"
"02/17/2023","49.045","49.700","49.700","49.500","0.00K","-5.70%"
"02/16/2023","52.010","54.000","54.000","54.000","0.01K","-4.94%"
"02/15/2023","54.715","54.200","54.200","54.200","0.00K","4.45%"
"02/14/2023","52.385","52.000","52.000","52.000","0.00K","1.32%"
"02/13/2023","51.705","51.705","51.705","51.705","","-4.15%"
"02/10/2023","53.945","53.250","53.250","53.250","0.00K","2.29%"
"02/09/2023","52.735","52.735","52.735","52.735","","-1.77%"
"02/08/2023","53.685","53.685","53.685","53.685","","-3.10%"
"02/07/2023","55.405","57.400","57.700","55.500","0.01K","-4.65%"
"02/06/2023","58.110","58.110","58.110","58.110","","0.38%"
"02/03/2023","57.890","58.000","59.200","57.900","0.01K","1.49%"
"02/02/2023","57.040","57.100","57.100","56.700","0.00K","-4.17%"
"02/01/2023","59.525","57.400","58.200","57.400","0.00K","3.79%"
"01/31/2023","57.350","60.200","60.200","57.400","0.01K","3.98%"
"01/30/2023","55.156","56.850","56.850","55.500","0.01K","-0.49%"
"01/27/2023","55.425","53.500","53.500","53.000","0.01K","1.11%"
"01/26/2023","54.815","56.600","56.600","56.600","0.00K","-3.26%"
"01/25/2023","56.660","57.250","57.250","56.600","0.00K","-2.76%"
"01/24/2023","58.270","58.270","58.270","58.270","","-11.71%"
"01/23/2023","66.000","65.200","65.200","64.600","0.00K","-1.35%"
"01/20/2023","66.900","66.500","66.500","66.500","0.00K","10.19%"
"01/19/2023","60.715","60.300","61.100","60.300","0.02K","-1.61%"
"01/18/2023","61.710","60.000","62.200","60.000","0.01K","2.75%"
"01/17/2023","60.060","65.000","65.000","54.500","0.01K","-7.33%"
"01/13/2023","64.810","66.300","66.300","62.800","0.01K","-2.99%"
"01/12/2023","66.810","69.600","69.600","67.600","0.01K","2.24%"
"01/11/2023","65.345","67.595","67.595","65.500","0.01K","-6.74%"
"01/10/2023","70.070","73.000","76.000","70.200","0.02K","-5.69%"
"01/09/2023","74.300","71.050","75.400","70.100","0.01K","6.85%"
"01/06/2023","69.535","72.000","76.000","68.000","0.01K","-3.98%"
"01/05/2023","72.420","72.420","72.420","72.420","","11.38%"
"01/04/2023","65.020","65.020","65.020","65.020","","-10.09%"
"01/03/2023","72.315","72.315","72.315","72.315","","-5.24%"
